episode,timestep,reward,steps,success
343,71004,286.58,142,1
344,71212,312.9199,208,1
345,71314,251.9801,102,1
346,71409,258.5501,95,1
347,71477,245.32,68,1
348,71591,282.86,114,1
349,71727,288.64,136,1
350,71909,304.18,182,1
351,72150,312.0899,241,1
352,72341,329.5898,191,1
353,72509,300.3199,168,1
354,72612,264.47,103,1
355,72791,322.7099,179,1
356,72879,249.12,88,1
357,73013,282.66,134,1
358,73188,308.75,175,1
359,73319,272.1901,131,1
360,73433,267.8601,114,1
361,73553,275.8,120,1
362,73701,295.52,148,1
363,73886,296.65,185,1
364,73955,244.81,69,1
365,74058,271.47,103,1
366,74227,296.81,169,1
367,74444,324.33,217,1
368,74641,315.5298,197,1
369,74704,241.87,63,1
370,74811,275.43,107,1
371,74929,272.8201,118,1
372,75080,284.99,151,1
373,75259,308.71,179,1
374,75360,262.4901,101,1
375,75467,264.4301,107,1
376,75542,248.75,75,1
377,75666,274.76,124,1
378,75786,285.8,120,1
379,75928,286.58,142,1
380,76107,308.71,179,1
381,76223,276.84,116,1
382,76371,288.52,148,1
383,76551,308.2,180,1
384,76659,268.9201,108,1
385,76759,250.0,100,1
386,76983,336.7599,224,1
387,77076,267.5701,93,1
388,77272,306.0398,196,1
389,77456,291.16,184,1
390,77535,254.7101,79,1
391,77721,298.14,186,1
392,77776,244.95,55,1
393,77926,285.5,150,1
394,78138,311.8799,212,1
395,78218,255.2,80,1
396,78313,258.5501,95,1
397,78382,247.81,69,1
398,78503,279.29,121,1
399,78623,293.8,120,1
400,78776,309.97,153,1
401,78996,317.7999,220,1
402,79189,328.5698,193,1
403,79362,300.77,173,1
404,79448,271.14,86,1
405,79638,316.0999,190,1
406,79701,251.87,63,1
407,79824,289.27,123,1
408,79994,311.3,170,1
409,80110,278.84,116,1
410,80216,267.9401,106,1
411,80331,276.35,115,1
412,80484,296.97,153,1
413,80666,297.1799,182,1
414,80739,247.77,73,1
415,80855,269.8401,116,1
416,81025,296.3,170,1
417,81217,329.0799,192,1
418,81400,318.6699,183,1
419,81459,242.91,59,1
420,81581,274.78,122,1
421,81687,272.9401,106,1
422,81826,286.11,139,1
423,81984,313.42,158,1
424,82092,262.9201,108,1
425,82196,264.96,104,1
426,82268,250.28,72,1
427,82382,276.86,114,1
428,82500,284.82,118,1
429,82638,291.62,138,1
